taskLogId,taskId,date,minutes,memo,createdAt,updatedAt
1,1,1998-08-11,100000,演習,2026-05-24T14:52:38,2026-05-28T17:42:47
2,2,2000-03-01,75,食材一式,2022-01-31T15:00:30,2026-05-28T20:00:26
3,3,2002-12-01,120,帳簿,2022-02-28T15:00:30,2026-05-28T17:43:32
4,4,2004-04-10,999,試験対策,2026-05-24T14:54:39,2026-05-28T17:43:45
5,5,2006-05-21,60,パスタ,2022-01-31T15:00:30,2026-05-28T20:02:00
6,6,2008-04-04,120,ウォーキング,2022-02-28T15:00:30,2026-05-28T17:44:58
7,1,2010-09-30,200000,コーディング,2026-05-24T14:59:53,2026-05-28T19:59:02
8,2,2012-07-01,600,衣類,2022-01-31T15:00:30,2026-05-28T19:59:33
9,3,2014-10-05,120,メール送信,2022-02-28T15:00:30,2026-05-28T17:46:47
10,4,2016-11-11,999,環境設定,2026-05-24T15:04:45,2026-05-28T17:46:59
11,5,2018-02-28,60,夕食,2022-01-31T15:00:30,2026-05-28T17:47:16
12,6,2020-10-30,120,バーピー,2022-02-28T15:00:30,2026-05-28T20:02:52
13,1,2021-08-01,100000,エラー修正,2026-05-24T15:10:38,2026-05-28T18:24:29
14,2,2022-06-03,60,日用品,2022-01-31T15:00:30,2026-05-28T18:24:42
16,4,2023-03-04,999,新規テーブル設計,2026-05-24T15:13:28,2026-05-28T20:03:27
17,5,2024-10-08,60,買い食い,2022-01-31T15:00:30,2026-05-28T18:26:09
18,6,2025-07-01,120,ラジオ体操,2022-02-28T15:00:30,2026-05-28T18:26:21
20,2,2029-03-28,558,事務用品,2022-01-31T15:00:30,2026-05-28T19:59:56
21,3,2031-05-11,120,伝票入力,2022-02-28T15:00:30,2026-05-28T19:52:31
25,4,2033-07-11,999,既存環境から移行,2026-05-24T15:20:31,2026-05-28T20:04:29
26,5,2035-06-04,60,昼食,2022-01-31T15:00:30,2026-05-28T19:53:02
27,6,2037-02-14,120,ランニング,2022-02-28T15:00:30,2026-05-28T19:53:14
