task_id,taskName,category,createdAt,updatedAt,deletedAt
1,JAVA,learning,2026-05-24T14:50:59,2026-05-24T17:25:36,null
2,買い物,家事,2005-04-01T12:00:00,2005-08-01T12:00:00,2026-05-24T17:39:43
3,書類作成,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
4,aws,AWS,2026-05-24T14:51:41,2026-05-28T17:30:41,null
5,食事,日常,2005-04-01T12:00:00,2005-08-01T12:00:00,null
6,運動,日常,2015-01-01T12:00:00,2015-04-01T12:00:00,null
7,C++,learning,2026-05-24T15:17:42,2026-05-24T15:26:06,null
8,******,＋＋＋＋＋＋＋,2005-04-01T12:00:00,2026-05-24T17:26:27,2026-05-24T15:28:59
9,*+*+*+,@@@@,2015-01-01T12:00:00,2026-05-24T19:08:51,null
10,8,----,2026-05-24T17:37:29,2026-05-24T17:37:29,null
11,￥￥￥,@@@@,2005-04-01T12:00:00,2026-05-24T17:39:31,2026-05-28T20:04:57
12,？？？？？？？？？,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
